,Unnamed: 0,id,name,type,price,original_price,discount,discount_rate,rating_average,review_count,productset_group_name,day_ago_created,all_time_quantity_sold
0,0,148803925,Giày chạy bộ nam New Balance Classic - ML574,configurable,1537000,2195000,658000,30,5.0,9,Thể Thao - Dã Ngoại/Giày thể thao nam/Giày chạy bộ nam,185.0,15.0
1,1,131347928,Giày Thể Thao Nam Biti’s Hunter X Z MIDNIGHT BLACK MID DSMH06301DEN (Đen),configurable,1207000,1207000,0,0,4.7,372,Thể Thao - Dã Ngoại/Giày thể thao nam/Giày chạy bộ nam,238.0,752.0
2,2,56339896,Xe máy điện VinFast Klara S ,configurable,39900000,39900000,0,0,4.6,513,Ô Tô - Xe Máy - Xe Đạp/Xe điện/Xe máy điện,734.0,1175.0
3,3,118281790,Giày Thể Thao Nam Biti’s Hunter X Z Collection InGreenZ DSMH06300REU (Rêu),configurable,1086000,1207000,121000,10,4.6,38,Thể Thao - Dã Ngoại/Giày thể thao nam/Giày chạy bộ nam,301.0,71.0
4,4,37468142,Giày thể thao nam IKEN S&B - Xanh Dương ,configurable,699000,699000,0,0,1.0,1,Thể Thao - Dã Ngoại/Giày thể thao nam/Giày chạy bộ nam,965.0,10.0
5,5,5204861,Giày Thể Thao Nam Biti’s Hunter X – 2K18 – DSUH00500DEN - Midnight Black II,configurable,885000,932000,47000,5,5.0,64,Thể Thao - Dã Ngoại/Giày thể thao nam/Giày chạy bộ nam,1353.0,134.0
6,6,115453610,Giày sneaker unisex Fila Balanta - 1GM01217D,configurable,898000,1795000,897000,50,4.7,13,Thể Thao - Dã Ngoại/Giày thể thao nam/Giày chạy bộ nam,323.0,21.0
7,7,147982904,Giày Thể Thao Nam Biti’s Hunter Street WHITE DSMH08000TRG (Trắng),configurable,731000,731000,0,0,5.0,9,Thể Thao - Dã Ngoại/Giày thể thao nam/Giày chạy bộ nam,186.0,22.0
8,8,148676118,Giày Thể Thao Nam Biti’s Hunter X Z Collection InBlack DSMH06300 Màu Xám,configurable,1167000,1229000,62000,5,5.0,3,Thể Thao - Dã Ngoại/Giày thể thao nam/Giày chạy bộ nam,185.0,11.0
9,9,147982629,Giày Thể Thao Nam Biti’s Hunter Street BLACK DSMH08000DEN (Đen),configurable,731000,731000,0,0,5.0,11,Thể Thao - Dã Ngoại/Giày thể thao nam/Giày chạy bộ nam,185.0,24.0
10,10,137971241,Giày đi bộ nam Skechers Go Walk Max - 54600,configurable,795000,1590000,795000,50,5.0,3,Thể Thao - Dã Ngoại/Giày thể thao nam/Giày chạy bộ nam,219.0,8.0
11,11,118281078,Giày Thể Thao Nam Biti’s Hunter X Z Collection InOrange DSMH06300KEM (Kem),configurable,1086000,1207000,121000,10,5.0,20,Thể Thao - Dã Ngoại/Giày thể thao nam/Giày chạy bộ nam,301.0,37.0
12,12,176825442,Xe máy điện VinFast Theon S,configurable,69900000,69900000,0,0,0.0,0,Ô Tô - Xe Máy - Xe Đạp/Xe điện/Xe máy điện,50.0,
13,13,96113354,Giày chạy bộ địa hình S-LAB SENSE 8 SG RACING RED L40751600,configurable,4860000,4860000,0,0,5.0,2,Thể Thao - Dã Ngoại/Giày thể thao nam/Giày chạy bộ nam,399.0,4.0
14,14,118326573,Giày Thể Thao Nam Biti’s Hunter Street Z Collection Low GreenZ DSMH06600HOG (Hồng),configurable,680000,716000,36000,5,5.0,12,Thể Thao - Dã Ngoại/Giày thể thao nam/Giày chạy bộ nam,301.0,24.0
15,15,145379503,[Ảnh thật 100%] Giày thể thao đẹp Em’s Shoes MS: ET31,configurable,199000,199000,0,0,0.0,0,Thể Thao - Dã Ngoại/Giày thể thao nam/Giày chạy bộ nam,195.0,
